SimTime,Node_ID,Catch_10_ms,Lagrange_ms,AES_ms,Total_ms
11.464140,0,28.794581,76.248024,0.046223,105.088828
11.796652,1,42.533585,74.671469,0.012202,117.217256
20.467802,3,32.537329,74.702018,0.022454,107.261801
23.663688,4,28.520332,73.444866,0.011004,101.976202
58.808024,2,28.525506,75.073449,0.010587,103.609542
11.464140,0,28.794581,117.311259,0.014845,146.120685
11.796652,1,42.533585,73.921382,0.027648,116.482615
20.467802,3,32.537329,74.619087,0.012208,107.168624
23.663688,4,28.520332,84.504198,0.013449,113.037979
58.808024,2,28.525506,73.453954,0.012585,101.992045
11.464140,0,28.794581,75.351143,0.011938,104.157662
11.796652,1,42.533585,77.312378,0.010567,119.856530
20.467802,3,32.537329,71.791602,0.017065,104.345996
23.663688,4,28.520332,73.573710,0.011592,102.105634
58.808024,2,28.525506,71.206150,0.010743,99.742399
11.464140,0,28.794581,79.059643,0.011974,107.866198
11.796652,1,42.533585,73.229116,0.011247,115.773948
20.467802,3,32.537329,76.703707,0.012498,109.253534
23.663688,4,28.520332,77.489734,0.011980,106.022046
58.808024,2,28.525506,75.486464,0.010689,104.022659
11.464140,0,28.794581,109.190196,0.015475,138.000252
11.796652,1,42.533585,139.282934,0.022485,181.839004
20.467802,3,32.537329,78.653794,0.016243,111.207366
23.663688,4,28.520332,84.478855,0.016200,113.015387
58.808024,2,28.525506,135.896426,0.207294,164.629226
